season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2024,03/08,EIWA Championships,125,L,FALL,1:55,Nick Babin,65929,Columbia,Dayton DelViscio,73322,Navy
2024,03/08,EIWA Championships,125,L,MD,16 - 5,Diego Sotelo,71874,Harvard,Dayton DelViscio,73322,Navy
2024,02/16,Army West Point - Navy Dual,125,L,TF5,19 - 3 4:48,Ethan Berginc,71779,Army West Point,Dayton DelViscio,73322,Navy
2024,01/21,Navy - Binghamton Dual,125,L,MD,13 - 5,Carson Wagner,78720,Binghamton,Dayton DelViscio,73322,Navy
2024,01/20,Navy - Lehigh Dual,125,L,FALL,1:01,Sheldon Seymour,62339,Lehigh,Dayton DelViscio,73322,Navy
2024,01/05,David Lehman Open,125,W,DEC,7 - 5,Matt Ricci,79431,Navy,Dayton DelViscio,73322,Navy
2024,01/05,David Lehman Open,125,W,MD,15 - 4,Noah Tonsor,81065,Army West Point,Dayton DelViscio,73322,Navy
2024,01/05,David Lehman Open,125,L,DEC,8 - 6,Shamil Kalmatov,72680,American,Dayton DelViscio,73322,Navy
2024,01/05,David Lehman Open,125,L,CMFF,0 - 0,Tyler Chappell,79287,Pittsburgh,Dayton DelViscio,73322,Navy
2024,12/29,Soldier Salute,125,L,DEC,10 - 5,Blake Gioimo,78601,Iowa State,Dayton DelViscio,73322,Navy
2024,12/29,Soldier Salute,125,L,TF5,21 - 6 7:00,Joey Cruz,73188,Iowa,Dayton DelViscio,73322,Navy
2024,12/29,Soldier Salute,125,L,SV-1,15 - 12,Nick Babin,65929,Columbia,Dayton DelViscio,73322,Navy
2024,12/29,Soldier Salute,125,W,MD,11 - 2,Tony Burke,78464,VMI,Dayton DelViscio,73322,Navy
2024,12/21,Navy - American Dual,125,W,DEC,11 - 10,Shamil Kalmatov,72680,American,Dayton DelViscio,73322,Navy
2024,12/03,Patriot Open,125,L,DEC,16 - 10,Nick Treaster,89471,Unattached,Dayton DelViscio,73322,Navy
2024,12/03,Patriot Open,125,W,MD,18 - 6,JB Dragovich,78828,George Mason,Dayton DelViscio,73322,Navy
2024,12/03,Patriot Open,125,L,MD,8 - 0,Zander Phaturos,73554,Campbell,Dayton DelViscio,73322,Navy
2024,11/18,Navy Classic,125,W,FALL,2:22,Logan Sallot,79291,Lock Haven,Dayton DelViscio,73322,Navy
2024,11/18,Navy Classic,125,L,TF5,19 - 4 5:40,Caleb Smith,58559,Nebraska,Dayton DelViscio,73322,Navy
2024,11/18,Navy Classic,125,W,FALL,2:55,Malachi O'Leary,78919,Ohio,Dayton DelViscio,73322,Navy
2024,11/18,Navy Classic,125,L,FALL,2:47,Drew Heethuis,78620,Princeton,Dayton DelViscio,73322,Navy
2024,11/12,VMI - Navy Dual,125,W,TF5,18 - 3 6:00,Tony Burke,78464,VMI,Dayton DelViscio,73322,Navy
2024,12/10,Ohio - Navy Dual,125,W,FALL,4:10,Ryan Meek,79652,Ohio,Evan Tallmadge,73120,Navy
2024,12/01,Cliff Keen Invitational,125,L,DEC,9 - 5,Troy Spratley,73119,Oklahoma State,Evan Tallmadge,73120,Navy
2024,12/01,Cliff Keen Invitational,125,L,SV-1,12 - 9,Richard Castro-Sandoval,69366,CSU Bakersfield,Evan Tallmadge,73120,Navy
2024,11/18,Navy Classic,125,W,TF5,17 - 2 1:53,Gunner Havens,84318,Kent State,Evan Tallmadge,73120,Navy
2024,11/18,Navy Classic,125,L,DEC,4 - 3,Tucker Owens,71711,Air Force,Evan Tallmadge,73120,Navy
2024,11/18,Navy Classic,125,W,DEC,4 - 1,Drew Heethuis,78620,Princeton,Evan Tallmadge,73120,Navy
2024,11/18,Navy Classic,125,W,FALL,1:57,Malik Hardy,73357,The Citadel,Evan Tallmadge,73120,Navy
2024,11/12,Morgan State - Navy Dual,125,W,TF5,16 - 0 5:00,Julian Dawson,84955,Morgan State,Evan Tallmadge,73120,Navy
2024,11/12,Pittsburgh - Navy Dual,125,W,DEC,8 - 3,Colton Camacho,58029,Pittsburgh,Evan Tallmadge,73120,Navy
2024,11/04,Navy - Illinois Dual,125,L,SV-1,6 - 3,Justin Cardani,51687,Illinois,Evan Tallmadge,73120,Navy
2024,01/28,Navy - North Carolina Dual,125,L,TF5,19 - 4 7:00,Spencer Moore,68720,North Carolina,Hayden Benter,84926,Navy
2024,01/12,Navy - South Dakota State Dual,125,L,FALL,4:06,Tanner Jordan,57664,South Dakota State,Hayden Benter,84926,Navy
2024,12/29,Soldier Salute,125,L,TF5,19 - 4 7:00,Ethan Perryman,78477,Iowa State,Hayden Benter,84926,Navy
2024,12/29,Soldier Salute,125,L,TF5,19 - 4 7:00,Drake Ayala,66975,Iowa,Hayden Benter,84926,Navy
2024,12/29,Soldier Salute,125,W,DEC,2 - 0,Marco Tocci,78821,North Carolina,Hayden Benter,84926,Navy
2024,12/29,Soldier Salute,125,L,DEC,6 - 5,Marco Tocci,78821,North Carolina,Hayden Benter,84926,Navy
2024,12/29,Soldier Salute,125,L,DEC,6 - 5,Damion Ryan,78489,Bellarmine,Hayden Benter,84926,Navy
2024,12/03,Patriot Open,125,L,MD,11 - 2,Durben Carpenter,87691,Unattached,Hayden Benter,84926,Navy
2024,12/03,Patriot Open,125,W,TF5,17 - 0 3:56,Kyle Hill,79296,Rider,Hayden Benter,84926,Navy
2024,12/03,Patriot Open,125,L,DEC,6 - 2,Ben Monn,69708,George Mason,Hayden Benter,84926,Navy
2024,12/03,Patriot Open,125,W,TF5,18 - 2 3:17,Gunner Chambers,84437,George Mason,Hayden Benter,84926,Navy
2024,11/05,Clarion Open,125,W,MD,14 - 5,Cooper Rider,79773,Purdue,Hayden Benter,84926,Navy
2024,11/05,Clarion Open,125,L,TF5,22 - 6 7:00,Markel Baker,78892,George Mason,Hayden Benter,84926,Navy
2024,11/05,Clarion Open,125,L,MD,11 - 2,Joseph Fischer,68702,Clarion,Hayden Benter,84926,Navy
2024,01/28,Mat-Town Open II,125,L,FALL,1:13,Luke Stanich,78768,Lehigh,Matt Ricci,79431,Navy
2024,01/28,Mat-Town Open II,125,L,MD,11 - 0,Brandan Chletsos,72969,Rutgers,Matt Ricci,79431,Navy
2024,01/28,Mat-Town Open II,125,W,TF5,17 - 2 3:05,Gunner Chambers,84437,George Mason,Matt Ricci,79431,Navy
2024,01/05,David Lehman Open,125,L,DEC,7 - 5,Dayton DelViscio,73322,Navy,Matt Ricci,79431,Navy
2024,01/05,David Lehman Open,125,L,DEC,9 - 3,Dylan Acevedo-Switzer,73023,Hofstra,Matt Ricci,79431,Navy
2024,11/18,Shorty Hitchcock Memorial,125,L,MD,9 - 0,Lincoln Sledzianowski,88481,Unattached,Matt Ricci,79431,Navy
2024,11/18,Shorty Hitchcock Memorial,125,W,FALL,0:57,Roman Citro,87286,Sussex County Community College,Matt Ricci,79431,Navy
2024,11/18,Shorty Hitchcock Memorial,125,W,TF5,15 - 0 1:49,Edward Lauritsen,86099,Lackawanna College,Matt Ricci,79431,Navy
2024,11/18,Shorty Hitchcock Memorial,125,L,MD,18 - 5,Jack Parker,83327,Franklin & Marshall,Matt Ricci,79431,Navy
2024,02/03,Bucknell - Navy Dual,125,L,SV-1,4 - 1,Kade Davidheiser,78810,Bucknell,Grant Treaster,63154,Navy
2024,01/12,Navy - Oklahoma Dual,125,L,TF5,18 - 2 7:00,Conrad Hendriksen,80186,Oklahoma,Grant Treaster,63154,Navy
2024,01/05,David Lehman Open,125,L,DEC,4 - 2,Ariel Waldman,84604,LIU,Grant Treaster,63154,Navy
2024,01/05,David Lehman Open,125,W,DEC,7 - 1,Isaiah Adams,84480,Harvard,Grant Treaster,63154,Navy
2024,01/05,David Lehman Open,125,L,FALL,4:14,Anthony Molton,57207,Campbell,Grant Treaster,63154,Navy
2024,12/03,Patriot Open,125,W,FALL,0:47,Matt Daugherty,86132,Spartan Combat RTC,Grant Treaster,63154,Navy
2024,12/03,Patriot Open,125,W,TF5,15 - 0 4:32,Ernie Perry,84553,Spartan Combat RTC,Grant Treaster,63154,Navy
2024,12/03,Patriot Open,125,L,MD,17 - 5,Brady Pruett,73565,Pennsylvania,Grant Treaster,63154,Navy
2024,12/03,Patriot Open,125,L,DEC,2 - 1,Zander Phaturos,73554,Campbell,Grant Treaster,63154,Navy
2024,11/18,Shorty Hitchcock Memorial,125,W,MD,12 - 2,Roman Citro,87286,Sussex County Community College,Grant Treaster,63154,Navy
2024,11/18,Shorty Hitchcock Memorial,125,W,TF5,15 - 0 1:08,Chris Dwyer,87277,Sussex County Community College,Grant Treaster,63154,Navy
2024,11/18,Shorty Hitchcock Memorial,125,W,TF5,17 - 0 2:30,Edward Lauritsen,86099,Lackawanna College,Grant Treaster,63154,Navy
2024,11/18,Shorty Hitchcock Memorial,125,L,FALL,0:43,Nic Allison,78492,Kutztown,Grant Treaster,63154,Navy
2024,11/18,Shorty Hitchcock Memorial,125,L,DEC,8 - 3,Tommy Link,73764,United States Military Academy,Grant Treaster,63154,Navy
2024,11/18,Shorty Hitchcock Memorial,125,W,DEC,13 - 6,Bryce Beatty,72599,Millersville,Grant Treaster,63154,Navy
2024,02/25,National Collegiate Open,125,L,DEC,5 - 4,Branden Wentzel,79309,Penn State,Jaden Felipe,84925,Navy
2024,02/25,National Collegiate Open,125,L,TF5,22 - 6 6:50,Ariel Waldman,84604,LIU,Jaden Felipe,84925,Navy
2024,12/03,Patriot Open,125,L,TF5,20 - 5 5:52,Gunner Chambers,84437,George Mason,Jaden Felipe,84925,Navy
2024,12/03,Patriot Open,125,L,DEC,13 - 12,John Hager,84396,Davidson,Jaden Felipe,84925,Navy
2024,03/08,EIWA Championships,133,L,MD,15 - 6,Hunter Adrian,65842,Brown,Brendan Ferretti,72187,Navy
2024,03/08,EIWA Championships,133,L,DEC,7 - 2,Maximillian Leete,72678,American,Brendan Ferretti,72187,Navy
2024,02/16,Army West Point - Navy Dual,133,L,DEC,5 - 4,Braden Basile,73707,Army West Point,Brendan Ferretti,72187,Navy
2024,02/03,Bucknell - Navy Dual,133,W,TB-1,3 - 1,Kurt Phipps,63966,Bucknell,Brendan Ferretti,72187,Navy
2024,02/02,Lock Haven - Navy Dual,133,L,DEC,4 - 2,Gable Strickland,71822,Lock Haven,Brendan Ferretti,72187,Navy
2024,01/28,Navy - North Carolina Dual,133,W,DEC,8 - 5,Jace Palmer,73198,North Carolina,Brendan Ferretti,72187,Navy
2024,01/21,Navy - Binghamton Dual,133,L,DEC,5 - 1,Micah Roes,67299,Binghamton,Brendan Ferretti,72187,Navy
2024,01/20,Navy - Lehigh Dual,133,L,DEC,10 - 3,Ryan Crookham,73116,Lehigh,Brendan Ferretti,72187,Navy
2024,01/12,Navy - Oklahoma Dual,133,L,DEC,2 - 1,Jace Koelzer,50912,Oklahoma,Brendan Ferretti,72187,Navy
2024,01/05,David Lehman Open,133,L,DEC,5 - 4,Coleman Nogle,84309,Harvard,Brendan Ferretti,72187,Navy
2024,01/05,David Lehman Open,133,L,SV-1,4 - 1,Micah Roes,67299,Binghamton,Brendan Ferretti,72187,Navy
2024,01/05,David Lehman Open,133,W,DEC,8 - 3,King Sandoval,57116,Maryland,Brendan Ferretti,72187,Navy
2024,12/21,Navy - American Dual,133,W,SV-1,4 - 1,Maximillian Leete,72678,American,Brendan Ferretti,72187,Navy
2024,12/10,Ohio - Navy Dual,133,W,TF5,18 - 2 6:35,Paul Woo,78922,Ohio,Brendan Ferretti,72187,Navy
2024,12/01,Cliff Keen Invitational,133,L,DEC,7 - 2,Derrick Cardinal,68734,South Dakota State,Brendan Ferretti,72187,Navy
2024,12/01,Cliff Keen Invitational,133,L,DEC,9 - 7,Ethan Oakley,62754,Appalachian State,Brendan Ferretti,72187,Navy
2024,12/01,Cliff Keen Invitational,133,W,FALL,1:04,Jameson Garcia,84308,Harvard,Brendan Ferretti,72187,Navy
2024,12/01,Cliff Keen Invitational,133,W,DEC,4 - 1,Santino Sanchez,79001,CSU Bakersfield,Brendan Ferretti,72187,Navy
2024,11/12,Morgan State - Navy Dual,133,W,TF5,17 - 2 5:00,Shawn Ryncarz,84327,Morgan State,Brendan Ferretti,72187,Navy
2024,11/12,Pittsburgh - Navy Dual,133,W,DEC,3 - 2,Vince Santaniello,72185,Pittsburgh,Brendan Ferretti,72187,Navy
2024,11/04,Navy - Illinois Dual,133,W,FALL,4:46,Kole Brower,73712,Illinois,Brendan Ferretti,72187,Navy
2024,02/25,National Collegiate Open,133,W,SV-1,3 - 1,Tyler Ferrera,78735,Spartan Combat RTC,Garrett Totten,81066,Navy
2024,02/25,National Collegiate Open,133,L,FALL,4:09,Ryan Miller,62350,Pennsylvania,Garrett Totten,81066,Navy
2024,02/25,National Collegiate Open,133,W,MD,16 - 7,Dylan Ryder,50876,Hofstra,Garrett Totten,81066,Navy
2024,02/25,National Collegiate Open,133,W,FALL,5:00,Bobby Gardner,78707,Clarion,Garrett Totten,81066,Navy
2024,01/28,Mat-Town Open II,133,L,DEC,5 - 3,Tyler Dekraker,92133,Unattached,Garrett Totten,81066,Navy
2024,01/28,Mat-Town Open II,133,L,FALL,3:28,Vinnie D'Alessandro,83326,High School,Garrett Totten,81066,Navy
2024,01/12,Navy - South Dakota State Dual,133,L,MD,14 - 1,Derrick Cardinal,68734,South Dakota State,Garrett Totten,81066,Navy
2024,01/05,David Lehman Open,133,L,FALL,2:14,Ryan Hartung,84444,Binghamton,Garrett Totten,81066,Navy
2024,01/05,David Lehman Open,133,W,FALL,6:20,Conner Quinn,72582,Maryland,Garrett Totten,81066,Navy
2024,01/05,David Lehman Open,133,L,TF5,15 - 0 1:43,Braxton Brown,72103,Maryland,Garrett Totten,81066,Navy
2024,12/29,Soldier Salute,133,L,FALL,3:26,Kale Petersen,82485,Iowa,Garrett Totten,81066,Navy
2024,12/29,Soldier Salute,133,W,DEC,4 - 2,Jesse Ybarra,57333,Iowa,Garrett Totten,81066,Navy
2024,12/29,Soldier Salute,133,L,FALL,4:34,Brody Teske,52779,Iowa,Garrett Totten,81066,Navy
2024,12/29,Soldier Salute,133,L,DEC,5 - 2,Jake Gliva,51241,Minnesota,Garrett Totten,81066,Navy
2024,12/29,Soldier Salute,133,W,MD,15 - 7,Garrett Ricks,67111,Wyoming,Garrett Totten,81066,Navy
2024,12/29,Soldier Salute,133,W,MFOR,0 - 0,Angelo Rini,56766,Columbia,Garrett Totten,81066,Navy
2024,12/29,Soldier Salute,133,W,DEC,11 - 10,Ostin Blanchard,84266,Bellarmine,Garrett Totten,81066,Navy
2024,12/22,Wilkes Open,133,W,DEC,5 - 3,Conor Collins,74086,Army West Point,Garrett Totten,81066,Navy
2024,12/22,Wilkes Open,133,L,DEC,8 - 3,Micah Roes,67299,Binghamton,Garrett Totten,81066,Navy
2024,12/22,Wilkes Open,133,W,FALL,0:35,Kaden Ware,85616,Pennsylvania College of Technology,Garrett Totten,81066,Navy
2024,12/22,Wilkes Open,133,W,FALL,1:20,Kevin Cordero,86775,Scranton,Garrett Totten,81066,Navy
2024,12/03,Patriot Open,133,W,DEC,4 - 2,Jack Bastarrika,84366,Virginia Tech,Garrett Totten,81066,Navy
2024,12/03,Patriot Open,133,L,SV-1,8 - 1,Tyler Ferrera,78735,Spartan Combat RTC,Garrett Totten,81066,Navy
2024,12/03,Patriot Open,133,W,MD,14 - 5,Charlie Bunting,78811,George Mason,Garrett Totten,81066,Navy
2024,12/03,Patriot Open,133,W,DEC,4 - 2,Patrick Schellpfeffer,69712,George Mason,Garrett Totten,81066,Navy
2024,12/03,Patriot Open,133,L,MD,11 - 1,Logan Heil,57515,Campbell,Garrett Totten,81066,Navy
2024,11/18,Navy Classic,133,L,DEC,8 - 2,Jacob Van Dee,73557,Nebraska,Garrett Totten,81066,Navy
2024,11/18,Navy Classic,133,W,DEC,4 - 1,Paul Woo,78922,Ohio,Garrett Totten,81066,Navy
2024,11/18,Navy Classic,133,W,MD,11 - 1,Mason Brugh,76364,Ohio,Garrett Totten,81066,Navy
2024,11/18,Navy Classic,133,L,DEC,7 - 2,Sean Pierson,60443,Princeton,Garrett Totten,81066,Navy
2024,11/12,VMI - Navy Dual,133,W,DEC,10 - 4,Dyson Dunham,73559,VMI,Garrett Totten,81066,Navy
2024,11/05,Clarion Open,133,L,TF5,19 - 4 7:00,Angelo Rini,56766,Columbia,Garrett Totten,81066,Navy
2024,11/05,Clarion Open,133,L,DEC,5 - 3,Clayton Bashor,71840,Clarion,Garrett Totten,81066,Navy
2024,03/21,NCAA Championships,141,L,DEC,7 - 3,Brock Hardy,51242,Nebraska,Joshua Koderhandt,70917,Navy
2024,03/21,NCAA Championships,141,W,DEC,9 - 5,Jesse Vasquez,67152,Arizona State,Joshua Koderhandt,70917,Navy
2024,03/21,NCAA Championships,141,W,DEC,6 - 0,Greyson Clark,79389,Purdue,Joshua Koderhandt,70917,Navy
2024,03/21,NCAA Championships,141,L,DEC,8 - 5,Lachlan McNeil,62891,North Carolina,Joshua Koderhandt,70917,Navy
